Departue Cities,Title,Type,Cabin,Price,Book Link
New York (JFK),"Paris, France",Cash,ECONOMY,Under 598$,https://www.google.com/travel/flights/search?tfs=CBwQAhpZEgoyMDI0LTA4LTIwKAE6AlRQOgJUSzoCU0s6AkFaOgJGSToCREU6AkVJOgJPRzoCQVQ6Ak4wOgJaMDoCQkZqBwgBEgNERU5yDAgCEggvbS8wNXF0apAB6AIaWRIKMjAyNC0wOC0yOCgBOgJUUDoCVEs6AlNLOgJBWjoCRkk6AkRFOgJFSToCT0c6AkFUOgJOMDoCWjA6AkJGagwIAhIIL20vMDVxdGpyBwgBEgNERU6QAegCQAFIAWoEEAEYAHABggELCP___________wGIAQGYAQE&hl=en-US&curr=USD&utm_source=ActiveCampaign&utm_medium=email&utm_content=%F0%9F%98%8E%20Paris%2C%20France%20under%20%24598%20%28Inc%20l%20August%20-%20Was%3A%20%241000%29&utm_campaign=PREMIUM%20-%20Paris%2C%20France%20sub-600%20Summer
New York (JFK),"Dubai, U.A.E.",Cash,ECONOMY,Under 784$,https://www.google.com/travel/flights/search?tfs=CBwQAhpHEgoyMDI0LTEwLTIyKAE6AkY5OgJHNDoCTks6AlNZOgJTVmoHCAESA01JQWoHCAESA0ZMTHINCAISCS9tLzAxZjA4cpAB6AIaRxIKMjAyNC0xMC0yOSgBOgJGOToCRzQ6Ak5LOgJTWToCU1ZqDQgCEgkvbS8wMWYwOHJyBwgBEgNNSUFyBwgBEgNGTEyQAegCQAFIAWoEEAEYAHABggELCP___________wGIAQGYAQE&tfu=EgIIACIA&hl=en-US&curr=USD&utm_source=ActiveCampaign&utm_medium=email&utm_content=%F0%9F%87%A6%F0%9F%87%AA%20Dubai%2C%20U%20A%20E%20%20under%20%24784%20%28Fall%20%2F%20Winter%20-%20Was%3A%20%241200%29&utm_campaign=PREMIUM%20-%20Dubai%2C%20U%20A%20E
New York (JFK),Costa Rica,Cash,ECONOMY,Under 395$,https://www.google.com/travel/flights/search?tfs=CBwQAhpWEgoyMDI1LTAxLTIyKAE6AkY5OgJHNDoCTks6AlNZOgJDTToCQVY6AlZCOgJZNDoCUTZqDAgDEggvbS8wcmg2a3IHCAESA1NKT3IHCAESA0xJUpAB6AIaVhIKMjAyNS0wMS0yOSgBOgJGOToCRzQ6Ak5LOgJTWToCQ006AkFWOgJWQjoCWTQ6AlE2agcIARIDU0pPagcIARIDTElScgwIAxIIL20vMHJoNmuQAegCQAFIAWoEEAEYAHABggELCP___________wGIAQGYAQE&tfu=EgIIASIA&hl=en-US&curr=USD&utm_source=ActiveCampaign&utm_medium=email&utm_content=%F0%9F%A6%9C%20Costa%20Rica%20under%20%24395%20%28Peak%20Season%20-%20Was%3A%20%24700%29&utm_campaign=PREMIUM%20-%20%20Costa%20Rica%20sub%20400
New York (JFK),"Albuquerque, NM",Cash,ECONOMY,Under 248$,https://www.google.com/travel/flights/search?tfs=CBwQAhosEgoyMDI0LTA4LTE0KAE6AlNZOgJOS2oHCAESA0RFTnIHCAESA0FCUZAB6AIaLBIKMjAyNC0wOC0yMSgBOgJTWToCTktqBwgBEgNBQlFyBwgBEgNERU6QAegCQAFIAWoEEAEYAHABggELCP___________wGYAQE&tfu=EgIIASIA&hl=en-US&gl=US&curr=USD&utm_source=ActiveCampaign&utm_medium=email&utm_content=%F0%9F%8F%9C%EF%B8%8F%20Albuquerque%2C%20NM%20under%20%24248%20%28Inc%20l%20Summer%20-%20Was%3A%20%24400%29&utm_campaign=PREMIUM%20-%20Albuquerque%20sub-250%20%28Domestic%29
"New York (JFK), New York (JFK)",Croatia & Greece,Cash,ECONOMY,Under 587$,https://www.google.com/travel/flights/search?tfs=CBwQAho9EgoyMDI0LTEwLTE2KAI6AkY5OgJHNDoCTks6AlNZagcIARIDT1JEcgcIARIDWkFHcgcIARIDQVRIkAHoAho9EgoyMDI0LTEwLTIzKAI6AkY5OgJHNDoCTks6AlNZagcIARIDWkFHagcIARIDQVRIcgcIARIDT1JEkAHoAkABSAFqBBABGABwAYIBCwj___________8BiAEBmAEB&tfu=EgIIACIA&hl=en-US&curr=USD&utm_source=ActiveCampaign&utm_medium=email&utm_content=%F0%9F%98%8E%20Croatia%20%26%20Greece%20under%20%24587%20%28Inc%20l%20Summer%20-%20Was%3A%20%24900%29&utm_campaign=PREMIUM%20-%20Greece%20and%20Croatia%20sub-600
New York (JFK),"St. Croix, USVI",Cash,ECONOMY,Under 397$,https://www.google.com/travel/flights/search?tfs=CBwQAhowEgoyMDI1LTAxLTIxKAE6AkY5OgJOSzoCM01qBwgBEgNUTEhyBwgBEgNTVFiQAegCGjASCjIwMjUtMDEtMjgoAToCRjk6Ak5LOgIzTWoHCAESA1NUWHIHCAESA1RMSJAB6AJAAUgBagQQARgAcAGCAQsI____________AYgBAZgBAQ&tfu=EgIIASIA&hl=en-US&curr=USD&utm_source=ActiveCampaign&utm_medium=email&utm_content=%F0%9F%90%A2%20St%20%20Croix%2C%20USVI%20under%20%24397%20%28Winter%20-%20Was%3A%20%24700%29&utm_campaign=PREMIUM%20-%20St%20%20Croix%20USVI%20sub-400
New York (JFK),[PREMIUM ECONOMY] Europe,Points,BUSINESS_AND_FIRST_CLASS,From 56k points,https://wwws.airfrance.us/?bookingFlow=REWARD&utm_source=ActiveCampaign&utm_medium=email&utm_content=%F0%9F%98%8E%20%5BPREMIUM%20ECON%5D%20Europe%20from%2056k%20points%20R%2FT%20%28Inc%20l%20Summer%20-%20Was%3A%20%242000%2B%29&utm_campaign=PREMIUM%20-%20Air%20France%2FKLM%20Prem%20Econ%20Europe
New York (JFK),"[DELTA ONE SUITES] Taipei, Taiwan",Points,BUSINESS_AND_FIRST_CLASS,Under 196k points,"https://www.delta.com/?utm_source=ActiveCampaign&utm_medium=email&utm_content=%F0%9F%A6%84%20%5BDELTA%20ONE%20SUITES%5D%20Taipei,%20Taiwan%20under%20196k%20SkyMiles%20R%2FT%20(Peak%20Summer%20-%20Was:%20500k%2B)&utm_campaign=PREMIUM%20-%20Delta%20One%20SkyMiles%20TPE"
New York (JFK),"Copenhagen, Denmark",Cash,ECONOMY,For 493$,https://www.google.com/travel/flights/search?tfs=CBwQAhooEgoyMDI0LTEwLTE4KAEyAkZJagcIARIDTVNQcgcIARIDQ1BIkAHoAhooEgoyMDI0LTEwLTI1KAEyAkZJagcIARIDQ1BIcgcIARIDTVNQkAHoAkABSAFqBBABGABwAYIBCwj___________8BiAEBmAEB&tfu=EgIIASIA&hl=en-US&curr=USD&utm_source=ActiveCampaign&utm_medium=email&utm_content=%F0%9F%87%A9%F0%9F%87%B0%20Copenhagen%2C%20Denmark%20for%20%24493%20%28Iceland%20Stopovers%20-%20Was%3A%20%24800%29&utm_campaign=PREMIUM%20-%20Copenhagen%20sub-500
"New York (JFK), New York (JFK), New York (JFK), New York (JFK), New York (JFK)",[Qsuites] Africa / India / SE Asia,Points,BUSINESS_AND_FIRST_CLASS,Under 90k points,https://www.qatarairways.com/en/Privilege-Club/loginpage.html?utm_source=ActiveCampaign&utm_medium=email&utm_content=%F0%9F%8D%BE%20%5BQsuites%5D%20Africa%20%2F%20India%20%2F%20SE%20Asia%20under%2095k%20points%20each%20way%20%28Peak%20Season%20-%20Was%3A%20%244k%29&utm_campaign=Premium%3A%20Qsuites%20Feb%2FMar%202025
