Departue Cities,Title,Type,Cabin,Price,Book Link
New York (JFK),"Washington, D.C.",Cash,ECONOMY,Under 199$,https://www.google.com/travel/flights/search?tfs=CBwQAho1EgoyMDI0LTA5LTE4KAE6AlNZOgJOSzoCRjlqBwgBEgNQVkRyDAgCEggvbS8wcmg2a5ABrAIaNRIKMjAyNC0wOS0yNSgBOgJTWToCTks6AkY5agwIAhIIL20vMHJoNmtyBwgBEgNQVkSQAawCQAFIAWoEEAEYAHABggELCP___________wGIAQGYAQE&hl=en-US&gl=US&curr=USD&utm_source=ActiveCampaign&utm_medium=email&utm_content=%F0%9F%8F%9B%EF%B8%8F%20Washington%2C%20D%20C%20%20under%20%24199%20%28Fall%20-%20Was%3A%20%24400%29&utm_campaign=PREMIUM%20-%20Washington%20DC%20sub-200%20%28Domestic%29
"New York (JFK), New York (JFK), New York (JFK), New York (JFK), New York (JFK), New York (JFK), New York (JFK), New York (JFK), New York (JFK)",[NONSTOP] Caribbean,Points,ECONOMY,From 17k points,https://www.virginatlantic.com/flight-search/book-a-flight?utm_source=ActiveCampaign&utm_medium=email&utm_content=%F0%9F%8F%96%EF%B8%8F%20%5BNONSTOP%5D%20Caribbean%20from%2017k%20points%20R%2FT%20(Delta%20%2F%20Main%20Cabin%20-%20Was:%20$600%2B)&utm_campaign=Delta%20econ%20to%20Caribbean%20via%20Virgin
"New York (JFK), New York (JFK)",[NONSTOP] Italy,Cash,ECONOMY,Under 541$,https://www.google.com/travel/flights/search?tfs=CBwQAho1EgoyMDI0LTExLTEzKAA6AlowOgJOMDoCTk9qBwgBEgNKRktyBwgBEgNGQ09yBwgBEgNNWFAaNRIKMjAyNC0xMS0yMCgAOgJaMDoCTjA6Ak5PagcIARIDRkNPagcIARIDTVhQcgcIARIDSkZLQAFIAWoEEAEYAHABggELCP___________wGIAQGYAQE&tfu=EgIIACIGCgEwEgEw&curr=USD&utm_source=ActiveCampaign&utm_medium=email&utm_content=%F0%9F%8D%9D%20%5BNONSTOP%5D%20Italy%20under%20%24541%20%28Inc%20l%20Thanksgiving%20-%20Was%3A%20%24900%29&utm_campaign=PREMIUM%20-%20Nonstop%20Italy%20sub-600
"New York (JFK), New York (JFK), New York (JFK), New York (JFK), New York (JFK), New York (JFK)",[PREMIUM ECONOMY] NYC to SE Asia,Cash,ECONOMY,Under 1296$,https://www.google.com/travel/flights/search?tfs=CBwQAhoxEgoyMDI0LTExLTA2KAEyAlNRagcIARIDSkZLagcIARIDRVdScgcIARIDU0lOkAHoAhoxEgoyMDI0LTExLTEzKAEyAlNRagcIARIDU0lOcgcIARIDSkZLcgcIARIDRVdSkAHoAkABSAJwAYIBCwj___________8BmAEB&utm_source=ActiveCampaign&utm_medium=email&utm_content=%F0%9F%92%BA%20%5BPREMIUM%20ECON%5D%20NYC%20to%20SE%20Asia%20under%20%241296%20%28Fall%20%2F%20Winter%20-%20Was%3A%20%242500%29&utm_campaign=PREMIUM%3A%20Singapore%20Premium%20Economy%20NYC%20to%20SE%20Asia%20sub-1300
New York (JFK),[BIZ CLASS] JFK to Milan,Points,BUSINESS_AND_FIRST_CLASS,For 87k points,https://www.emirates.com/us/english/book/?gad_source=1&gclid=EAIaIQobChMIx8Osv8OFhQMVuTStBh3UOQoyEAAYASAAEgLu5fD_BwE&gclsrc=aw.ds&utm_source=ActiveCampaign&utm_medium=email&utm_content=%F0%9F%8D%BE%20%5BBIZ%20CLASS%5D%20JFK%20to%20Milan%20for%2087k%20miles%20each%20way%20%28Emirates%20%2F%20Summer%20-%20Was%3A%20%243k%29&utm_campaign=PREMIUM%20-%20Emirates%20Milan%2087k%20summer
New York (JFK),Ireland,Cash,ECONOMY,Under 599$,https://www.google.com/travel/flights/search?tfs=CBwQAhpLEgoyMDI0LTExLTA2KAI6AlRQOgJTSzoCT0dqBwgBEgNCT1NyBwgBEgNTTk5yBwgBEgNPUktyBwgBEgNDRk5yBwgBEgNEVUKQAcoCGksSCjIwMjQtMTEtMTMoAjoCVFA6AlNLOgJPR2oHCAESA1NOTmoHCAESA09SS2oHCAESA0NGTmoHCAESA0RVQnIHCAESA0JPU5ABygJAAUgBagQQARgAcAGCAQsI____________AYgBAZgBAQ&tfu=EgIIASIA&curr=USD&utm_source=ActiveCampaign&utm_medium=email&utm_content=%E2%98%98%EF%B8%8F%20Ireland%20under%20%24599%20%28Inc%20l%20Summer%20-%20Was%3A%20%24900%29&utm_campaign=PREMIUM%20-%20Ireland%20sub-600
New York (JFK),"Miami, Florida",Cash,ECONOMY,Under 249$,https://www.google.com/travel/flights/search?tfs=CBwQAhpBEgoyMDI0LTA2LTA1KAE6Ak5LOgJTWToCM006AkY4OgJHNDoCRjlqBwgBEgNKRktyDAgDEggvbS8wZjJ2MJAB6AIaQRIKMjAyNC0wNi0xMigBOgJOSzoCU1k6AjNNOgJGODoCRzQ6AkY5agwIAxIIL20vMGYydjByBwgBEgNKRkuQAegCQAFIAWoEEAEYAHABggELCP___________wGIAQGYAQE&tfu=EgIIACIDCgEw&gl=US&curr=USD&utm_source=ActiveCampaign&utm_medium=email&utm_content=%F0%9F%8F%96%EF%B8%8F%20Miami%2C%20Florida%20under%20%24249%20%28Summer%20-%20Was%3A%20%24400%29&utm_campaign=PREMIUM%20-%20Miami%2C%20FL%20sub-250%20%28Domestic%29
New York (JFK),"San Juan, Puerto Rico",Cash,ECONOMY,Under 390$,https://www.google.com/travel/flights/search?tfs=CBwQAho0EgoyMDI0LTA5LTA1KAE6AjNNOgJGOToCU1k6Ak5LagcIARIDSkZLcgcIARIDU0pVkAHoAho0EgoyMDI0LTA5LTEyKAE6AjNNOgJGOToCU1k6Ak5LagcIARIDU0pVcgcIARIDSkZLkAHoAkABSAFqBBABGABwAYIBCwj___________8BiAEBmAEB&hl=en-US&gl=US&curr=USD&utm_source=ActiveCampaign&utm_medium=email&utm_content=%F0%9F%87%B5%F0%9F%87%B7%20San%20Juan%2C%20Puerto%20Rico%20under%20%24390%20%28Summer%20%2F%20Fall%20-%20Was%3A%20%24600%29&utm_campaign=PREMIUM%20-%20San%20Juan%2C%20PR%20sub-400
New York (JFK),"[BIZ CLASS] Bali, Thailand, & More SE Asia",Points,BUSINESS_AND_FIRST_CLASS,For 110k points,https://www.cathaypacific.com/cx/en_HK/book-a-trip/redeem-flights/redeem-flight-awards.html?utm_source=ActiveCampaign&utm_medium=email&utm_content=%F0%9F%A5%82%20%5BBIZ%20CLASS%5D%20Bali%2C%20Thailand%2C%20%26%20More%20SE%20Asia%20for%20110k%20miles%20each%20way%20%28Peak%20Season%20-%20Was%3A%20%245k%29&utm_campaign=Cathay%20Pacific%20Biz%20Class%20%2F%20First
"New York (JFK), New York (JFK), New York (JFK), New York (JFK), New York (JFK), New York (JFK)",[AA BIZ CLASS] Europe ,Points,BUSINESS_AND_FIRST_CLASS,From 45k points,https://www.aa.com/booking/find-flights?tripType=roundTrip&awardBooking=true&utm_source=ActiveCampaign&utm_medium=email&utm_content=%F0%9F%94%A5%20%5BAA%20BIZ%20CLASS%5D%20Europe%20from%2045k%20miles%20each%20way%20%28Nonstop%20%2F%20Summer%20-%20Was%3A%20100k%2B%29&utm_campaign=AA%20biz%20class%20Award%20Europe%20Nonstop
